요양기관명,종별코드명,시도코드명,주소,x좌표,y좌표
연세대학교 원주세브란스기독병원,상급종합,강원,강원도 원주시 일산로 20-0  (일산동),127.9456639,37.3490013
연세대학교의과대학 강남세브란스병원,상급종합,서울,서울특별시 강남구 언주로 211 강남세브란스병원 (도곡동),127.0462683,37.4929296
영남대학교병원,상급종합,대구,대구광역시 남구 현충로 170 (대명동),128.58205,35.848107
원광대학교병원,상급종합,전북,전라북도 익산시 무왕로 895 (신동),126.9595793,35.9646389
의료법인 길의료재단 길병원,상급종합,인천,인천광역시 남동구 남동대로774번길 21-0 의료법인길의료재단길병원,126.7092258,37.452171
이화여자대학교의과대학부속목동병원,상급종합,서울,서울특별시 양천구 안양천로 1071 (목동),126.8862379,37.5362859
인제대학교부산백병원,상급종합,부산,"부산광역시 부산진구 복지로 75, 진사로83번길 75 진사로83번길 81, 1층(일부), 3층 (개금동)",129.0208609,35.1455173
인하대학교의과대학부속병원,상급종합,인천,인천광역시 중구 인항로 27 (신흥동3가),126.6340955,37.4586786
재단법인아산사회복지재단 서울아산병원,상급종합,서울,서울특별시 송파구 올림픽로43길 88 서울아산병원 (풍납동),127.107935,37.5265762
전남대학교병원,상급종합,광주,광주광역시 동구 제봉로 42  (학동),126.9219641,35.1419213
전북대학교병원,상급종합,전북,전라북도 전주시 덕진구 건지로 20  (금암동),127.1411626,35.8470974
조선대학교병원,상급종합,광주,광주광역시 동구 필문대로 365  (학동),126.9261468,35.1390538
중앙대학교병원,상급종합,서울,서울특별시 동작구 흑석로 102 (흑석동),126.9607839,37.5067481
충남대학교병원,상급종합,대전,대전광역시 중구 문화로 282 (대사동),127.415363,36.316908
충북대학교병원,상급종합,충북,충청북도 청주시 서원구 1순환로 776-0 충북대학교병원,127.4614843,36.6242237
칠곡경북대학교병원,상급종합,대구,대구광역시 북구 호국로 807 칠곡경북대학교병원(임상실습동1~8층 포함) (학정동),128.5646727,35.9564207
학교법인 고려중앙학원 고려대학교의과대학부속병원(안암병원),상급종합,서울,서울특별시 성북구 고려대로 73 고려대병원 (안암동5가),127.0263537,37.5870165
학교법인 울산공업학원 울산대학교병원,상급종합,울산,울산광역시 동구 방어진순환도로 877 울산대학교병원 (전하동),129.4289116,35.5200702
학교법인가톨릭학원가톨릭대학교서울성모병원,상급종합,서울,서울특별시 서초구 반포대로 222 (반포동),127.0051154,37.5009444
학교법인성균관대학삼성창원병원,상급종합,경남,"경상남도 창원시 마산회원구 팔용로 158-158 (합성동, 삼성창원병원)",128.5920245,35.2428774
학교법인연세대학교의과대학세브란스병원,상급종합,서울,서울특별시 서대문구 연세로 50-1 (신촌동),126.9408265,37.5623446
한림대학교성심병원,상급종합,경기,경기도 안양시 동안구 관평로170번길 22 (평촌동),126.9620529,37.3917575
한양대학교병원,상급종합,서울,서울특별시 성동구 왕십리로 222-1 (사근동),127.0441339,37.5596569
화순전남대학교병원,상급종합,전남,전라남도 화순군 화순읍 서양로 322 (),127.0025,35.0594333
(의)나사렛의료재단 나사렛국제병원,종합병원,인천,인천광역시 연수구 먼우금로 98-   (동춘동),126.6704928,37.407958
(의)영문의료재단 다보스병원,종합병원,경기,경기도 용인시 처인구 백옥대로1082번길 18 다보스종합병원 (김량장동),127.2114648,37.2314883
(재)미리내천주성삼성직수도회천주성삼병원,종합병원,대구,"대구광역시 수성구 달구벌대로 3190 (신매동, 천주성삼병원)",128.7057175,35.8402416
KS병원,종합병원,광주,광주광역시 광산구 왕버들로 220  (수완동),126.8331484,35.1979238
가톨릭관동대학교 국제성모병원,종합병원,인천,인천광역시 서구 심곡로100번길 25-0 인천국제성모병원,126.6836103,37.5424165
가톨릭대학교 성빈센트병원,종합병원,경기,경기도 수원시 팔달구 중부대로 93 (지동),127.0274271,37.2779855
가톨릭대학교 여의도성모병원,종합병원,서울,서울특별시 영등포구 63로 10 여의도성모병원 (여의도동),126.9367517,37.5183253
가톨릭대학교 은평성모병원,종합병원,서울,서울특별시 은평구 통일로 1021 (진관동),126.9161912,37.6334945
가톨릭대학교부천성모병원,종합병원,경기,경기도 부천시 소사로 327 가톨릭대학교 부천성모병원 (소사동),126.7924167,37.4871165
가톨릭대학교의정부성모병원,종합병원,경기,경기도 의정부시 천보로 271 의정부성모병원 (금오동),127.0777625,37.7587045
강남병원,종합병원,경기,경기도 용인시 기흥구 중부대로 411 강남병원 (신갈동),127.1115072,37.2737515
강동경희대학교의대병원,종합병원,서울,서울특별시 강동구 동남로 892 (상일동),127.1573794,37.5534484
강원대학교병원,종합병원,강원,강원도 춘천시 백령로 156-  (효자동),127.744891,37.8751611
강원도 삼척의료원,종합병원,강원,강원도 삼척시 오십천로 418 삼척의료원,129.1638017,37.4403018
강원도 영월의료원,종합병원,강원,강원도 영월군 영월읍 중앙1로 59,128.4652388,37.1864525
강원도 원주의료원,종합병원,강원,강원도 원주시 서원대로 387  (개운동),127.949225,37.332608
강원도강릉의료원,종합병원,강원,강원도 강릉시 경강로 2007 2007,128.8888317,37.7492828
강원도속초의료원,종합병원,강원,강원도 속초시 영랑호반길 3 (영랑동),128.5892485,38.2164607
강일병원,종합병원,경남,경상남도 김해시 가락로 359 (구산동),128.8696709,35.2566817
건국대학교 충주병원,종합병원,충북,충청북도 충주시 국원대로 82  (교현동),127.9288169,36.9789801
검단탑병원,종합병원,인천,인천광역시 서구 청마로19번길 5-  (당하동),126.6710215,37.5924931
경기도의료원 수원병원,종합병원,경기,경기도 수원시 장안구 수성로245번길 69 (정자동),126.9963375,37.2918917
경기도의료원 안성병원,종합병원,경기,경기도 안성시 남파로 95 (당왕동),127.2603668,37.0173531
경기도의료원 이천병원,종합병원,경기,경기도 이천시 경충대로 2742 (관고동),127.4325729,37.2827618
경기도의료원의정부병원,종합병원,경기,경기도 의정부시 흥선로 142 (의정부동),127.0425004,37.741161
경기도의료원파주병원,종합병원,경기,경기도 파주시 중앙로 207 경기도립의료원파주병원 (금촌동),126.7801503,37.7550649
경기도의료원포천병원,종합병원,경기,경기도 포천시 포천로 1648 (신읍동),127.19828,37.9033163
경상남도마산의료원,종합병원,경남,경상남도 창원시 마산합포구 3·15대로 231 (중앙동3가),128.5655967,35.1992371
경상북도김천의료원,종합병원,경북,경상북도 김천시 모암길 24  (모암동),128.1264391,36.1227232
경상북도안동의료원,종합병원,경북,경상북도 안동시 태사2길 55  (북문동),128.7321116,36.5682206
경상북도포항의료원,종합병원,경북,경상북도 포항시 북구 용흥로 36  (용흥동),129.3549409,36.0348814
경찰병원,종합병원,서울,서울특별시 송파구 송이로 123 국립경찰병원 (가락동),127.123509,37.4963836
계명대학교대구동산병원,종합병원,대구,대구광역시 중구 달성로 56 계명대학교대구동산병원 (동산동),128.5831323,35.8694728
고신대학교복음병원,종합병원,부산,부산광역시 서구 감천로 262 (암남동),129.0139595,35.0809636
곽병원,종합병원,대구,대구광역시 중구 국채보상로 531 (수동),128.588613,35.870924
광명성애병원,종합병원,경기,경기도 광명시 디지털로 36 광명성애병원 (철산동),126.8713502,37.4736659
광양사랑병원,종합병원,전남,전라남도 광양시 공영로 71  (중동),127.6969657,34.9361846
광주기독병원,종합병원,광주,광주광역시 남구 양림로 37  (양림동),126.911875,35.136665
광주병원,종합병원,광주,광주광역시 북구 면앙로139번길 51  (두암동),126.9281408,35.178903
광주보훈병원,종합병원,광주,광주광역시 광산구 첨단월봉로 99  (산월동),126.849672,35.2079032
광주수완병원,종합병원,광주,광주광역시 광산구 임방울대로 370  (수완동),126.8241888,35.193096
광주씨티병원,종합병원,광주,광주광역시 남구 서문대로654번길 5 (진월동),126.8994848,35.1177147
광주일곡병원,종합병원,광주,광주광역시 북구 양일로 309  (일곡동),126.8976135,35.2028543
광주한국병원,종합병원,광주,광주광역시 서구 월드컵4강로 223 (쌍촌동),,
광주현대병원,종합병원,광주,광주광역시 북구 설죽로 291  (용봉동),126.897925,35.185676
광주희망병원,종합병원,광주,광주광역시 북구 하서로 429  (용두동),126.8747341,35.2134937
구로성심병원,종합병원,서울,서울특별시 구로구 경인로 427 구로성심병원 (고척동),126.8664159,37.4996715
구미강동병원,종합병원,경북,경상북도 구미시 인동20길 46  (진평동),128.4227832,36.0962038
구포성심병원,종합병원,부산,부산광역시 북구 낙동대로 1786 (구포동),129.0047235,35.2097132
국군수도병원,종합병원,경기,경기도 성남시 분당구 새마을로177번길 81 (율동),127.1490752,37.3923712
국립암센터,종합병원,경기,경기도 고양시 일산동구 일산로 323 (마두동),126.7834097,37.6632301
국립중앙의료원,종합병원,서울,서울특별시 중구 을지로 245 (을지로6가),127.005671,37.5672138
국민건강보험공단일산병원,종합병원,경기,"경기도 고양시 일산동구 일산로 100 (백석동,백석1동 1241외1필지 4층)",126.7930401,37.6454754
근로복지공단 대전병원,종합병원,대전,대전광역시 대덕구 계족로 637  (법동),127.4285488,36.3683976
근로복지공단 순천병원,종합병원,전남,전라남도 순천시 조례1길 24  (조례동),127.5249267,34.9611351
근로복지공단 창원병원,종합병원,경남,경상남도 창원시 성산구 창원대로 721 (중앙동),128.6717512,35.2187539
근로복지공단 태백병원,종합병원,강원,강원도 태백시 보드미길 8 (장성동),129.0043366,37.1040964
근로복지공단안산병원,종합병원,경기,경기도 안산시 상록구 구룡로 87 근로복지공단안산병원 (일동),126.874139,37.3167269
근로복지공단인천병원,종합병원,인천,인천광역시 부평구 무네미로 446-  (구산동),126.7536333,37.4767018
나사렛종합병원,종합병원,대구,대구광역시 달서구 월배로 97 나사렛병원 (진천동),128.5250991,35.814713
나주종합병원,종합병원,전남,전라남도 나주시 영산로 5419 나주종합병원,126.7213975,35.0363159
남양주 한양병원,종합병원,경기,경기도 남양주시 오남읍 양지로 47-55 47,127.2043933,37.6823474
남양주나눔병원,종합병원,경기,경기도 남양주시 오남읍 진건오남로797번길 9 (),127.2015641,37.6980156
노원을지대학교병원,종합병원,서울,서울특별시 노원구 한글비석로 68 을지병원 (하계동),127.0699355,37.6364794
녹색병원,종합병원,서울,서울특별시 중랑구 사가정로49길 53 (면목동),127.0860738,37.5835731
당진종합병원,종합병원,충남,충청남도 당진시 반촌로 5-15  (시곡동),126.6843802,36.9044521
대구가톨릭대학교 칠곡가톨릭병원,종합병원,대구,대구광역시 북구 칠곡중앙대로 440 (읍내동),128.549289,35.9348896
대구의료원,종합병원,대구,대구광역시 서구 평리로 157 (중리동),128.540587,35.85964
대구파티마병원,종합병원,대구,대구광역시 동구 아양로 99 (신암동),128.6244071,35.8842611
대동병원,종합병원,부산,부산광역시 동래구 충렬대로 187 (명륜동),129.0802016,35.2042463
대림성모병원,종합병원,서울,"서울특별시 영등포구 시흥대로 657 (대림동, 대림성모병원)",126.9072208,37.4906979
대아의료재단한도병원,종합병원,경기,경기도 안산시 단원구 선부광장로 103 (선부동),126.8076244,37.3340615
대자인병원,종합병원,전북,전라북도 전주시 덕진구 견훤로 390 (우아동3가),127.1533991,35.8459811
대전보훈병원,종합병원,대전,대전광역시 대덕구 대청로82번길 147 147,127.4396939,36.4473164
대전한국병원,종합병원,대전,대전광역시 동구 동서대로 1672  (성남동),,
대진의료재단 분당제생병원,종합병원,경기,경기도 성남시 분당구 서현로180번길 20 (서현동),127.1217783,37.3882035
대청병원,종합병원,대전,대전광역시 서구 계백로 1322 (정림동),127.3705837,36.3081922
더블유병원,종합병원,대구,대구광역시 달서구 달구벌대로 1632 (감삼동),128.5449673,35.8526417
동국대학교의과대학경주병원,종합병원,경북,경상북도 경주시 동대로 87  (석장동),129.1966582,35.8583076
동국대학교일산불교병원,종합병원,경기,"경기도 고양시 일산동구 동국로 27 (식사동, 동국대학교일산병원)",126.8064233,37.6763969
동남권원자력의학원,종합병원,부산,부산광역시 기장군 장안읍 좌동길 40 (),129.2435492,35.3214002
동래봉생병원,종합병원,부산,부산광역시 동래구 안연로109번길 27 (안락동),129.096142,35.1969249
동아병원,종합병원,광주,광주광역시 남구 대남대로 238  (백운동),126.899838,35.13469
드림종합병원,종합병원,대구,대구광역시 남구 대명로 153 (대명동),128.574456,35.839628
명지성모병원,종합병원,서울,서울특별시 영등포구 도림로 156 명지성모병원 (대림동),126.8992778,37.4938833
목포기독병원,종합병원,전남,전라남도 목포시 백년대로 303  (상동),126.4206,34.8045333
목포시의료원,종합병원,전남,전라남도 목포시 이로로 18  (용해동),126.4053627,34.8039839
목포한국병원,종합병원,전남,전라남도 목포시 영산로 483  (상동),126.4164223,34.8092997
미래로21병원,종합병원,광주,광주광역시 서구 화운로 1  (화정동),126.8852867,35.1410324
미즈메디병원,종합병원,서울,서울특별시 강서구 강서로 295 (내발산동),126.8359357,37.5522178
베데스다복음병원,종합병원,경남,경상남도 양산시 신기로 28 (신기동),129.0436024,35.3532708
부민병원,종합병원,서울,서울특별시 강서구 공항대로 389 부민병원 (등촌동),126.8509273,37.556866
부산광역시의료원,종합병원,부산,"부산광역시 연제구 월드컵대로 359 (거제동, 1동, 5동일부)",129.0592351,35.1872822
부산성모병원(재단법인 천주교부산교구유지재단),종합병원,부산,부산광역시 남구 용호로232번길 25-14 (용호동),129.109125,35.1104571
부안성모병원,종합병원,전북,전라북도 부안군 부안읍 오정2길 24 (),126.7344047,35.7248858
부천대성병원,종합병원,경기,"경기도 부천시 부천로 91 (심곡동, 부천대성병원)",126.7841872,37.4925524
부천세종병원,종합병원,경기,"경기도 부천시 호현로489번길 28 (소사본동, 세종병원)",126.791225,37.4810179
부천우리병원,종합병원,경기,경기도 부천시 소사로 726 지하4층~지상5층 (원종동),126.8052027,37.5208668
부평세림병원,종합병원,인천,인천광역시 부평구 부평대로 175-   (청천동),126.7199858,37.506872
비에스종합병원,종합병원,인천,인천광역시 강화군 강화읍 충렬사로 31-0,126.4859916,37.7360483
비에이치에스한서병원,종합병원,부산,부산광역시 수영구 수영로 615 (광안동),129.1131037,35.16088
빛가람종합병원,종합병원,전남,전라남도 나주시 정보화길 49-0 (빛가람동),126.7988049,35.0242217
빛고을전남대학교병원,종합병원,광주,광주광역시 남구 덕남길 80 빛고을전남대학교병원 (덕남동),126.8963045,35.0943936
삼육부산병원,종합병원,부산,부산광역시 서구 대티로 170 (서대신동2가),129.011113,35.112774
삼육서울병원,종합병원,서울,서울특별시 동대문구 망우로 82 (휘경동),127.0653066,37.5879909
삼일병원,종합병원,대구,"대구광역시 달서구 월배로 446 가,다동 (송현동)",128.5541817,35.833148
상무병원,종합병원,광주,광주광역시 서구 상무자유로 181-7  (치평동),126.8538803,35.1527509
상주적십자병원,종합병원,경북,경상북도 상주시 상서문로 53  (남성동),128.1555556,36.4146221
새통영병원,종합병원,경남,경상남도 통영시 무전7길 192 (무전동),,
서광병원,종합병원,광주,광주광역시 서구 금화로59번길 6 (금호동),126.8557303,35.1325949
서남대학교병원,종합병원,광주,광주광역시 동구 천변우로 415  (불로동),126.9150205,35.1447273
서산중앙병원,종합병원,충남,충청남도 서산시 수석산업로 5 (수석동),126.5034636,36.7810108
서울산보람병원,종합병원,울산,울산광역시 울주군 삼남면 중평로 53 (),129.1207349,35.5600045
서울성심병원,종합병원,서울,서울특별시 동대문구 왕산로 259 서울성심병원 (청량리동),127.0497296,37.5843076
서울적십자병원,종합병원,서울,서울특별시 종로구 새문안로 9 적십자병원 (평동),126.9669974,37.5671805
서울특별시 동부병원,종합병원,서울,서울특별시 동대문구 무학로 124 (용두동),127.031341,37.5753681
서울특별시보라매병원,종합병원,서울,서울특별시 동작구 보라매로5길 20 (신대방동),126.9239058,37.4934414
서울특별시서남병원,종합병원,서울,서울특별시 양천구 신정이펜1로 20 (신정동),126.8331531,37.5120195
서울특별시서울의료원,종합병원,서울,서울특별시 중랑구 신내로 156 (신내동),127.0978309,37.6132762
선한병원,종합병원,광주,광주광역시 서구 무진대로 975-0  (광천동),126.88697,35.16153
성가롤로병원,종합병원,전남,전라남도 순천시 순광로 221  (조례동),127.5437074,34.9647334
성남시의료원,종합병원,경기,경기도 성남시 수정구 수정로171번길 10 성남시의료원 (태평동),127.1391,37.4450622
성남중앙병원,종합병원,경기,경기도 성남시 중원구 산성대로476번길 12 (금광동),127.1619932,37.4528497
성심의료재단강동성심병원,종합병원,서울,서울특별시 강동구 성안로 150 (길동),127.135378,37.5359971
성애의료재단 성애병원,종합병원,서울,"서울특별시 영등포구 여의대방로53길 22 (신길동, 성애병원)",126.9225003,37.5120274
세란병원,종합병원,서울,서울특별시 종로구 통일로 256 (무악동),126.9574607,37.5751835
세종충남대학교병원,종합병원,세종시,세종특별자치시 보듬7로 20 세종충남대학교병원 (도담동),,
속초보광병원,종합병원,강원,강원도 속초시 중앙로 11-0 속초보광병원,128.5783901,38.1980014
순천의료재단 정병원,종합병원,경기,경기도 성남시 수정구 수정로 76 지하3~10층 (수진동),127.1290046,37.4398589
순천중앙병원,종합병원,전남,전라남도 순천시 장명로 5  (장천동),127.4844458,34.9514574
순천향대학교 부속 구미병원,종합병원,경북,경상북도 구미시 1공단로 179  (공단동),128.3827377,36.1029182
순천향대학교 부속 서울병원,종합병원,서울,서울특별시 용산구 대사관로 59 (한남동),127.0042579,37.533804
신가병원,종합병원,광주,광주광역시 광산구 목련로 316  (신가동),126.8296527,35.1774148
씨엠병원,종합병원,서울,"서울특별시 영등포구 영등포로36길 13 (영등포동4가, 충무병원),  문래로 187, 2층, 3층 (영등포동4가)",126.9038757,37.5188095
아산충무병원,종합병원,충남,충청남도 아산시 문화로 381  (모종동),127.0198062,36.7792648
안동성소병원,종합병원,경북,경상북도 안동시 서동문로 99  (금곡동),128.7228172,36.5672423
안성성모병원,종합병원,경기,경기도 안성시 시장길 58 (서인동),127.2709213,37.0062179
에스포항병원,종합병원,경북,경상북도 포항시 남구 희망대로 352  (이동),129.3314023,36.0348245
에이치플러스 양지병원,종합병원,서울,서울특별시 관악구 남부순환로 1636 양지병원 (신림동),126.9325692,37.4841536
엔케이(NK)세종병원,종합병원,세종시,세종특별자치시 한누리대로 161 세종시 NK리움힐 상가 1~8층 (나성동),127.2622483,36.4796372
여수전남병원,종합병원,전남,전라남도 여수시 좌수영로 49 (광무동),127.728018,34.7450673
여천전남병원,종합병원,전남,전라남도 여수시 무선로 95  (선원동),127.6543239,34.7691121
연세대학교 의과대학 용인세브란스병원,종합병원,경기,경기도 용인시 기흥구 동백죽전대로 363 (중동),127.1482641,37.2707922
연세에스병원,종합병원,경남,경상남도 창원시 진해구 해원로32번길 13 (이동),128.6981494,35.1549332
영광종합병원,종합병원,전남,전라남도 영광군 영광읍 와룡로 3 (),126.4989779,35.2844615
영남대학교의과대학부속영천병원,종합병원,경북,경상북도 영천시 오수1길 10  (오수동),128.913212,35.957285
영도병원,종합병원,부산,부산광역시 영도구 태종로 85 (대교동2가),129.0405236,35.0922416
영주적십자병원,종합병원,경북,경상북도 영주시 대학로 327-0 영주적십자병원,128.6040043,36.8252568
오산한국병원,종합병원,경기,경기도 오산시 밀머리로1번길 16 (원동),127.075277,37.1413334
온누리병원,종합병원,인천,인천광역시 서구 완정로 199-  199,126.6543044,37.6028198
우리들병원,종합병원,서울,서울특별시 강서구 하늘길 70 (과해동),126.7963265,37.5620454
운암한국병원,종합병원,광주,광주광역시 북구 북문대로 191  (운암동),126.8696694,35.1850041
울산엘리야병원,종합병원,울산,울산광역시 북구 호계로 285 (호계동),129.3506003,35.6289468
웅상중앙병원,종합병원,경남,경상남도 양산시 서창로 59 (명동),129.1645729,35.4064091
원광대학교 산본병원,종합병원,경기,경기도 군포시 산본로 321 (산본동),126.9336147,37.3594127
의료법인 갈렌의료재단 박병원,종합병원,경기,경기도 평택시 송탄로 33 (장당동),127.057003,37.048256
의료법인 강릉동인병원,종합병원,강원,강원도 강릉시 강릉대로419번길 42  (포남동),128.90735,37.77435
의료법인 거명의료재단 영광기독병원,종합병원,전남,전라남도 영광군 영광읍 신남로 265 (),126.510877,35.274938
의료법인 거붕 백병원,종합병원,경남,경상남도 거제시 계룡로5길 14 (상동동),128.6261659,34.8736095
의료법인 건명의료재단 진천성모병원,종합병원,충북,충청북도 진천군 진천읍 중앙북로 36-0 진천성모병원,127.4404044,36.8585629
의료법인 광혜의료재단 광혜병원,종합병원,부산,"부산광역시 동래구 충렬대로 96 (온천동, 광혜병원)",129.0711482,35.2070105
의료법인 근원의료재단 경산중앙병원,종합병원,경북,경상북도 경산시 경안로 11  (백천동),128.7401,35.8086667
의료법인 남촌의료재단 시화병원,종합병원,경기,경기도 시흥시 군자천로 381 시화병원 (정왕동),126.7245975,37.3529459
의료법인 녹산의료재단동수원병원,종합병원,경기,경기도 수원시 팔달구 중부대로 165 (우만동),127.0344741,37.2781302
의료법인 녹향의료재단 신천연합병원,종합병원,경기,"경기도 시흥시 복지로 57 복지로 61, 2층 (대야동)",126.7894932,37.4445152
의료법인 대우의료재단대우병원,종합병원,경남,경상남도 거제시 두모길 16-16 (두모동),128.7220923,34.8719577
의료법인 동강의료재단 동강병원,종합병원,울산,울산광역시 중구 태화로 239 (태화동),129.3020785,35.553448
의료법인 동강의료재단 동천동강병원,종합병원,울산,"울산광역시 중구 외솔큰길 215 (남외동, 동천동강병원)",129.3504382,35.568536
의료법인 동해동인병원,종합병원,강원,강원도 동해시 하평로 26 (평릉동),129.1074625,37.5299417
의료법인 명인의료재단 화홍병원,종합병원,경기,경기도 수원시 권선구 호매실로90번길 98 (호매실동),126.9638917,37.2601428
의료법인 박애의료재단 박애병원,종합병원,경기,경기도 평택시 평택2로20번길 3 (평택동),127.0890776,36.9930388
의료법인 백제병원,종합병원,충남,충청남도 논산시 시민로294번길 14  (취암동),127.0944739,36.192193
의료법인 석경의료재단 센트럴병원,종합병원,경기,"경기도 시흥시 공단1대로 237 (정왕동, 센트럴 병원)",126.7281267,37.3369084
의료법인 성념의료재단맑은샘병원,종합병원,경남,경상남도 거제시 연초면 거제대로 4477 (),128.6436423,34.8977185
의료법인 성수의료재단 인천백병원,종합병원,인천,인천광역시 동구 샛골로 214-  (송림동),126.6458376,37.4817037
의료법인 송은의료재단 울산시티병원,종합병원,울산,울산광역시 북구 산업로 1007 (연암동),129.3590343,35.5828446
의료법인 양진의료재단 평택성모병원,종합병원,경기,경기도 평택시 평택로 284 (세교동),127.0743384,37.0084078
의료법인 영동의료재단 의정부백병원,종합병원,경기,경기도 의정부시 금신로 322 (신곡동),127.0622375,37.7453263
의료법인 영서의료재단 천안충무병원,종합병원,충남,충청남도 천안시 서북구 다가말3길 8  (쌍용동),127.1315016,36.7974023
의료법인 영훈의료재단 대전선병원,종합병원,대전,대전광역시 중구 목중로 29 (목동),127.4104139,36.3360669
의료법인 예당의료재단 예산종합병원,종합병원,충남,충청남도 예산군 예산읍 금오대로 94 (),126.8379717,36.6910744
의료법인 오성의료재단 동군산병원,종합병원,전북,전라북도 군산시 조촌로 149  (조촌동),126.7372167,35.9773474
의료법인 온그룹의료재단 온종합병원,종합병원,부산,"부산광역시 부산진구 가야대로 721 719, 767 (당감동)",129.0498801,35.157851
의료법인 우범의료재단 장흥종합병원,종합병원,전남,전라남도 장흥군 장흥읍 흥성로 74 74,126.9108915,34.6771753
의료법인 원광의료재단 원광종합병원,종합병원,경기,경기도 화성시 화산북로 21 (송산동),127.0079849,37.2101716
의료법인 은성의료재단 좋은강안병원,종합병원,부산,부산광역시 수영구 수영로 493 (남천동),129.1106162,35.1500632
의료법인 은성의료재단 좋은삼정병원,종합병원,울산,울산광역시 남구 북부순환도로 51 (무거동),129.2688243,35.5528955
의료법인 은혜와감사의료재단 화성중앙종합병원,종합병원,경기,경기도 화성시 향남읍 발안로 5 (),126.9108361,37.1312957
의료법인 인당의료재단 부민병원,종합병원,부산,부산광역시 북구 만덕대로 59 (덕천동),129.0112115,35.2119276
의료법인 인당의료재단 해운대부민병원,종합병원,부산,부산광역시 해운대구 해운대로 584 (우동),129.1556545,35.1614208
의료법인 인천사랑병원,종합병원,인천,인천광역시 미추홀구 미추홀대로 726-0 인천사랑병원,126.6807094,37.462204
의료법인 인화재단 한국병원,종합병원,충북,충청북도 청주시 상당구 단재로 106 (영운동),127.496538,36.619507
의료법인 자산의료재단 제천서울병원,종합병원,충북,충청북도 제천시 숭문로 57  (서부동),128.2062355,37.138611
의료법인 정산의료재단 효성병원,종합병원,충북,충청북도 청주시 상당구 쇠내로 16-0 효성병원,127.4953372,36.6244786
의료법인 정안의료재단 중앙병원,종합병원,울산,울산광역시 남구 문수로480번길 10 (신정동),129.3052035,35.5315232
의료법인 중앙의료재단 중앙병원,종합병원,제주,제주특별자치도 제주시 월랑로 91-0 중앙병원,126.4704807,33.4923212
의료법인 청구성심병원,종합병원,서울,서울특별시 은평구 통일로 873 (갈현동),126.9197006,37.6208615
의료법인 플러스의료재단 단원병원,종합병원,경기,경기도 안산시 단원구 원포공원1로 20 동의성단원병원 (초지동),126.81301,37.3002
의료법인 행도의료재단 해동병원,종합병원,부산,부산광역시 영도구 태종로 133 (봉래동3가),,
의료법인 혜인의료재단 한국병원,종합병원,제주,제주특별자치도 제주시 서광로 193  (삼도일동),126.517062,33.500233
의료법인 힐링의료재단 옥천성모병원,종합병원,충북,충청북도 옥천군 옥천읍 성왕로 1195-0 (),127.5720868,36.3134813
의료법인갑을의료재단 갑을장유병원,종합병원,경남,경상남도 김해시 장유로 167-13 (부곡동),128.8056169,35.2086652
의료법인구의료재단 구병원,종합병원,대구,대구광역시 달서구 감삼북길 141 (감삼동),128.5413832,35.8506394
